PubMed ID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39622690,Associations Between Skin Microbiome and Metabolome in the Pathogenesis of Atopic Dermatitis Patients With Scalp Involvement.,2024-01-01,Suh DH; Lee S,"HEM Pharma Inc., Suwon, Korea.",Not available
39622572,"SPOON: an observational, cross-sectional study of perceptions and expectations of adults with generalised myasthenia gravis in France.",2024-12-02,Sacconi S; Richard A; Villy PE,"UCB France, Colombes, France.; Universite Cote d'Azur, Systeme nerveux peripherique et muscle, CHU Nice, Nice, Provence-Alpes-Cote d'Azur, France.",Not available
39622541,May Measurement Month 2022: results from the global blood pressure screening campaign.,2024-12-02,Schlaich M; Poulter N,"Khanda Ltd, London, UK.; Universidad Centro-Occidental Lisandro Alvarado, Barquisimeto, Venezuela.","Department of Primary Care and Public Health, Imperial College London, London, UK thomas.beaney@imperial.ac.uk."
39622410,"RELAY: Final Overall Survival for Erlotinib Plus Ramucirumab or Placebo in Untreated, EGFR-Mutated Metastatic NSCLC.",2024-11-30,Puri T; Chacko Varughese S; Frimodt-Moller B,"Eli Lilly Denmark A/S, Copenhagen, Denmark.; Eli Lilly and Company, Indianapolis, Indiana.; Statistics, Eli Lilly Services India Pvt. Ltd., Bengaluru, India.","Department of Medical Oncology, Faculty of Medicine, Kindai University, Osaka Japan. Electronic address: nakagawa@med.kindai.ac.jp."
39621492,The bidirectional interaction between antidepressants and the gut microbiota: are there implications for treatment response?,2025-01-01,Fabbri C; Bloemendaal M; Menchetti M; Serretti A,"Departament de Medicina, Facultat de Medicina i Ciencies de la Salut, Institut de Neurociencies, Universitat de Barcelona (UB).; Institut d'Investigacions Biomediques August Pi i Sunyer (IDIBAPS), Barcelona, Spain.",Not available
39621200,Association between the COVID-19 pandemic and short-term outcomes after esophagectomy for esophageal cancer in facilities with and without board-certified esophageal surgeons: a nationwide retrospective cohort study.,2025-01-01,Kakeji Y; Watanabe M; Yasuda T; Mori M; Shirabe K,"Database Committee, The Japanese Society of Gastroenterological Surgery, Tokyo, Japan.; The Japan Esophageal Society, Tokyo, Japan.",Not available
39621161,"Incidence, treatment patterns, and mortality for patients with breast cancer during the first year of the COVID-19 pandemic: a population-based study.",2024-12-02,Freedman RA,"Grupo Oncologico Cooperativo del Sur, Neuquen, Argentina.","Medical Oncology, Dana-Farber Cancer Institute, 450 Brookline Avenue, Boston, MA, USA. JoseP_Leone@dfci.harvard.edu."
39618964,Toward target 2035: EUbOPEN - a public-private partnership to enable & unlock biology in the open.,2024-11-29,Haberle S; Sundstrom M,"Drug Discovery Sciences, Bayer AG Berlin Germany.; Pfizer Medicine Design Cambridge MA 02139 USA.","Institute of Pharmaceutical Chemistry, Goethe University Frankfurt Frankfurt 60438 Germany knapp@pharmchem.uni-frankfurt.de."
39618509,Efficacy of emicizumab in patients with severe haemophilia A without factor VIII inhibitors in Germany: evaluation of real-life data documented by the smart medication eDiary.,2024-01-01,Kreutz J,"Chugai Pharma Germany GmbH, Frankfurt am Main, Germany.",Not available
39618051,Association between education level and access to disease-modifying treatment in patients with multiple sclerosis in France.,2025-01-01,Lefort M; Berger E,"Service de Neurologie, CHU de Besancon, Besancon, France.; Univ Rennes, EHESP, CNRS, Inserm, Arenes-UMR 6051, RSMS (Recherche sur les Services et Management en Sante)-U 1309, Rennes, France.",Not available
39617898,Diagnostic flow analysis of tuberous sclerosis complex in Japan: a retrospective claims database study.,2024-12-01,Yamada M; Tajima T,"Division of Real-World Evidence, JMDC Inc., Tokyo, Japan.; Novartis Pharma K.K, 1-23-1 Toranomon, Minato-ku, Tokyo, 105-6333, Japan.",Not available
39617826,Safety and Efficacy of Tinostamustine in a Subpopulation of Patients With Relapsed/Refractory Hodgkin Lymphoma From a Phase I Trial.,2025-01-01,Zinzani PL,"IRCCS Azienda Ospedaliero-Universitaria di Bologna, Istituto di Ematologia ""Seragnoli"", Bologna, Italy.",Not available
39617530,A phase I dose-escalation study of LRP5/6 antagonist BI 905677 in patients with advanced solid tumors.,2024-01-01,Bertulis J,"Boehringer Ingelheim Pharma GmbH & Co. KG, Biberach an der Riss, Germany.","USC Norris (Keck School of Medicine) Comprehensive Cancer Center, Los Angeles, USA. Electronic address: lenz@usc.edu."
39617055,Qualification of mechanistic models in biopharmaceutical process development.,2024-11-29,Briskot T; Hiltmann D; Rischawy F; Studts J,"Late Stage DSP Development, Bioprocess Development Biologicals, Boehringer Ingelheim Pharma GmbH & Co. KG, an der Riss, 88397 Biberach, Germany.",Not available
39617017,"Safety and activity of CTX130, a CD70-targeted allogeneic CRISPR-Cas9-engineered CAR T-cell therapy, in patients with relapsed or refractory T-cell malignancies (COBALT-LYM): a single-arm, open-label, phase 1, dose-escalation study.",2025-01-01,Williams LM; Ma A; Huang E; Ganpule A; Nagar SD; Sripakdeevong P; Cullingford EL; Karnik S; Dequeant ML; Patel JN; He XS; Li Z; He QA; Mendonez JH; Keegan A,"CRISPR Therapeutics, Boston, MA, USA.","Department of Lymphoma and Myeloma, The University of Texas MD Anderson Cancer Center, Houston, TX, USA. Electronic address: spiyer@mdanderson.org."
39616879,"Diversity, inclusivity and traceability of mammography datasets used in development of Artificial Intelligence technologies: a systematic review.",2024-11-26,Mateen B; Mackintosh M,"Genomics England Limited, London, UK; PATH, Seattle, Washington, United States; The Alan Turing Institute, London, UK.; University College London, Institute of Health Informatics, London, UK; Wellcome Trust, London, UK.",Not available
39616827,Sexual and emotional life among patients with hematological malignancy-Special concerns in low- and middle- income countries (LMICs).,2024-11-26,AlAsadi L,"INSERM, U1193, Hopital Universitaire Paul-Brousse, Centre Hepatobiliaire, Villejuif, France; Universite Paris-Saclay, Faculte de Medicine, Le Kremlin-Bicetre 94270, France.",Not available
39616778,Real-world efficacy of the dabrafenib-trametinib (D-T) combination in BRAF V600E-mutated metastatic non-small cell lung cancer (NSCLC): Results from the IFCT-2004 BLaDE cohort.,2024-11-26,Bayle-Bleuez S; Larive S; Lerolle U; Tomasini P; Missy P; Morin F; Westeel V,"APHM, Hopital Nord, Service d'Oncologie Multidisciplinaire & Innovations Therapeutiques, Marseille, France.; CH Les Chanaux, Service de Pneumologie, Macon, France.; CHU Saint-Etienne, Hopital Nord, Saint-Etienne, France.; Clinique Saint-Joseph, Service de Pneumologie, Trelaze, France.; Hopital Jean Minjoz, Pneumology, Besancon, France.; Intergroupe Francophone de Cancerologie Thoracique, Paris, France.","Centre Leon Berard, Department of Medical Oncology, Lyon, France. Electronic address: Aurelie.SWALDUZ@lyon.unicancer.fr."
39616467,Implementing evidence-based strategies for men with biochemically recurrent and advanced prostate cancer: Consensus recommendations from the US Prostate Cancer Conference 2024.,2025-01-01,Higano C; Morris DS,"Madrona Oncology, Seattle, Washington, USA.; Urology Associates PC, Nashville, Tennessee, USA.",Not available
39616447,Ten years of experience with ruxolitinib since approval for polycythemia vera: A review of clinical efficacy and safety.,2025-01-01,Hu W; Livingston RA,"Incyte Corporation, Wilmington, Delaware, USA.",Not available
39615889,Protocol for a multicentre randomised triple-blind controlled trial assessing the clinical efficacy of intra-articular platelet-rich plasma injections versus placebo in symptomatic knee osteoarthritis (PIKOA).,2024-11-29,Sellam J; Richette P,"CRSA Inserm UMRS_938, Sorbonne Universite, Paris, France.; Plateforme d'investigations technologiques, INSERM 1093 CAPS, Dijon, France.","Department of Rheumatology, Henri Mondor Hospital Rheumatology Service, Creteil, France florent.eymard@aphp.fr."
39615584,Pediatric Asthma Impairment and Risk Questionnaire: Rationale and development of a composite control tool.,2024-11-29,Coyne KS; Harding G,"Evidera Inc, Bethesda, Maryland.",Not available
39615412,Impact of HA-PCI on self-reported cognitive functioning and brain metastases in small-cell lung cancer: Pooled findings of NCT01780675 and PREMER trials.,2024-11-23,Dieleman EMT,"Amsterdam UMC- Location AMC, Radiation Oncology, Amsterdam, the Netherlands.","GROW School for Oncology and Reproduction, Maastricht University Medical Centre+, Department of Radiation Oncology (Maastro), Maastricht, the Netherlands. Electronic address: janezenghaiyan@outlook.com."
39615332,Cancer immunotherapy in elderly patients: The concept of immune senescence challenged by clinical experience.,2025-01-01,Chaput N,"Laboratoire d'Immunomonitoring en Oncologie, INSERM US23, CNRS UMS 3655, Gustave Roussy, Universite Paris-Saclay, Villejuif, Ile-de-France, France.",Not available
39614979,An Emerging Multi-mechanism and Multi-modal Approach in Interventional Glaucoma Therapy.,2024-11-30,Shultz M,"Shultz Chang Vision, Northridge, CA, USA.","Berkeley Eye Center, 1435 Hwy 6, Suite #202, Sugar Land, TX, 77478, USA. morgan.micheletti@gmail.com."
39614837,Decongestion and Outcomes in Patients Hospitalized for Acute Heart Failure: Insights From the RELAX-AHF-2 Trial.,2024-11-16,Severin T; Gimpelewicz C,"Novartis Pharma AG, Basel, Switzerland.",Not available
39614776,Association between education level and disability progression in patients with multiple sclerosis in France.,2025-01-01,Lefort M; Berger E,"Service de Neurologie, CHU de Besancon, Besancon, France.; Univ Rennes, EHESP, CNRS, Inserm, Arenes-UMR 6051, RSMS (Recherche sur les Services et Management en Sante)-U 1309, Rennes, France.",Not available
39613806,Evidentiary basis of the first regulatory qualification of a digital primary efficacy endpoint.,2024-11-29,Poleur M; Goemans N; Mercuri E; Straub V; Annoussamy M; Eggenspieler D,"F. Hoffmann-La Roche Ltd, Basel, Switzerland.; Parent Project Muscular Dystrophy, Washington, DC, USA.; Roche Products Ltd, Welwyn Garden City, UK.; Sarepta Therapeutics, Inc, Cambridge, MA, USA.; Solid Biosciences, Boston, MA, USA.","Department of Paediatrics, MDUK Oxford Neuromuscular Centre and NIHR Oxford Biomedical Research Centre, University of Oxford, Oxford, UK. laurent.servais@paediatrics.ox.ac.uk."
39613746,Identification of HER2-positive breast cancer molecular subtypes with potential clinical implications in the ALTTO clinical trial.,2024-11-29,Piccart M,"Novartis Pharma AG, Basel, Switzerland.",Not available
39613338,Antecedent viral immunization and efficacy of immune checkpoint blockade: an extensive serum antibody profile to predict outcomes in non-small cell lung cancer.,2024-11-28,Zrafi WS; Roman G; Cournede PH; Gautheret D; Planchard D; Barlesi F; Marabelle A; Chaput-Gras N,"CDI Laboratories Inc, Baltimore, Maryland, USA.; CNRS UMR9018, Metabolic and Systemic Aspects of Oncogenesis for New Therapeutic Approaches (METSY), Villejuif, France.; Universite Paris-Saclay, Gif-sur-Yvette, France.",Not available
39613100,Failure of LDL-C goals achievement and underuse of lipid-lowering therapies in patients at high and very high cardiovascular risk: Spanish subset from the European SANTORINI study.,2024-11-28,Garcia-Ortiz L; Diaz Moya G,"Daiichi Sankyo Espana, Madrid, Spain.; Unidad de Investigacion en Atencion Primaria de Salamanca (APISAL), Gerencia de Atencion Primaria de Salamanca, Instituto de investigacion Biomedica de Salamanca (IBSAL), Salamanca, Spain.","Atherosclerosis Unit, Department of Internal Medicine, Hospital la Paz-Carlos III, Madrid, Spain. Electronic address: josemaria.mostaza@salud.madrid.org."
39612757,Long-term outcomes among patients who respond within the first year to nivolumab plus ipilimumab or nivolumab monotherapy: A pooled analysis in 935 patients.,2025-01-01,Durani P; Pe Benito M; Wang P,"Bristol Myers Squibb, Princeton, NJ, USA.","Gustave Roussy and Paris-Saclay University, Villejuif-Paris Sud, France. Electronic address: caroline.robert@gustaveroussy.fr."
39612356,Molecular Features of Diffuse Large B-Cell Lymphoma Associated With Primary Treatment Resistance.,2025-01-01,Novak JP; Hopper MA; Huang CC; Maurer MJ; King RL; Gandhi AK; Nowakowski G,"Informatics and Predictive Sciences, Bristol Myers Squibb, Summit, New Jersey, USA.; Translational Medicine Hematology, Bristol Myers Squibb, Summit, New Jersey, USA.",Not available
39611771,Long-term efficacy and safety of secukinumab in patients with moderate-to-severe hidradenitis suppurativa: Week 104 results from the SUNSHINE and SUNRISE extension trial.,2024-11-29,Alarcon I; Bansal A; Gasperoni F; Martin R; Paguet B; Uhlmann L; Zouater H; Ravichandran S,"Novartis Pharma AG, Basel, Switzerland.; Novartis Pharmaceuticals Corporation, East Hanover, New Jersey, USA.",Not available
39611655,Drug Repurposing Patent Applications July-September 2024.,2024-11-29,Mucke HAM,"H. M. Pharma Consultancy, Wien, Austria.",Not available
39611573,Safety and effectiveness of secukinumab subcutaneous injection in Japanese patients with psoriasis vulgaris and psoriatic arthritis: A post-marketing surveillance.,2025-01-01,Seko N,"Biostatistics, Novartis Pharma K.K, Tokyo, Japan.",Not available
39611152,Molecular genetics in adult-onset Still's disease: next-generation sequencing in 24 patients and literature review.,2024-01-01,Palmou-Fontana N,"Rheumatology, Complejo Asistencial de Segovia, Segovia, Spain.",Not available
39609757,The IMPACT Survey: the humanistic impact of osteogenesis imperfecta in adults.,2024-11-28,Dadzie R; Prince S,"Wickenstones Ltd, Oxford, Oxfordshire, UK.",Not available
39609618,GPR180 is a new member of the Golgi-dynamics domain seven-transmembrane helix protein family.,2024-11-28,Mitrovic SA; Winter LM; Kiechle T; Ebenhoch R; Neubauer H; Stierstorfer B; Frego L; Wolfrum C,"Boehringer Ingelheim Pharma GmbH & Co. KG, Biberach an der Riss, Germany.; Boehringer Ingelheim, Ridgefield, CT, USA.",Not available
39608648,5-HT(1B) receptor activation produces rapid antidepressant-like effects in rodents.,2024-11-27,Wang L; Jagger E; Hu T; Li F; Koblan KS; Dedic N; Bristow LJ,"HD Biosciences Company Ltd., 590 Ruiqing Road, Pudong, Shanghai 201201, China.; Sumitomo Pharma America, Inc., 84 Waterford Drive, Marlborough, MA 01752, USA.; Sygnature Discovery, BioCity, Pennyfoot Street, Nottingham NG1 1GR, UK.","Sumitomo Pharma America, Inc., 84 Waterford Drive, Marlborough, MA 01752, USA. Electronic address: Erin.Clark@paragontherapeutics.com."
39607526,[Superior semicircular canal dehiscence isolation by transmastoid two-point canal plugging with preservation of the vestibulo-ocular reflex. German version].,2024-11-28,Seiwerth I; Rahne T,"Universitatsklinik und Poliklinik fur Hals-Nasen-Ohren-Heilkunde, Kopf- und Hals-Chirurgie, Universitatsklinikum Halle (Saale), Martin-Luther-Universitat Halle-Wittenberg, Ernst-Grube-Str. 40, 06120, Halle (Saale), Deutschland.",Not available
39607084,Development of a Highly Selective NanoBRET Probe to Assess MAGL Inhibition in Live Cells.,2024-11-28,Gazzi T; Topp A,"Leibniz-Forschungsinstitut fur Molekulare Pharmakologie, Berlin, Germany.",Not available
39606455,Heterogeneity of IKZF1 genomic alterations and risk of relapse in childhood B-cell precursor acute lymphoblastic leukemia.,2024-11-11,Mattano L Jr; Angiolillo A,HARP Pharma Consulting.; Servier Pharmaceuticals.,Not available
39606380,The ClinGen Syndromic Disorders Gene Curation Expert Panel: Assessing the Clinical Validity of 111 Gene-Disease Relationships.,2024-11-20,Kesari A,"Genetics and Molecular Pathology, SA Pathology, Adelaide, SA, Australia.",Not available
39606177,Combination Low-Dose Pilocarpine/Diclofenac Sodium and Pilocarpine Alone for Presbyopia: Results of a Randomized Phase 2b Clinical Trial.,2024-01-01,Cunningham D; Smits G; Ignacio T; Gupta PK,"Dell Laser Consultants, Austin, TX, USA.; Orasis Pharmaceuticals, Ponte Vedra, FL, USA.; Triangle Eye Consultants, Raleigh, NC, USA.",Not available
